[2026-06-20 17:51:00.907] [INFO] Logger initialized
[2026-06-20 17:51:00.909] [EVT.ECO] Ecosystem created: 200x150, seed=42
[2026-06-20 17:51:00.930] [EVT.SPAWN] PineTree at (4941,3382)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Bush at (1303,4655)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Cactus at (5987,3191)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Moss at (4074,652)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Kelp at (379,3237)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Plant at (92,306)
[2026-06-20 17:51:00.930] [EVT.SPAWN] PineTree at (4504,1721)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Pine at (739,3562)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Pine at (1230,4583)
[2026-06-20 17:51:00.930] [EVT.SPAWN] BerryBush at (3121,2133)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Seaweed at (2789,3183)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Seaweed at (4913,192)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Plant at (1281,696)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Moss at (2431,2372)
[2026-06-20 17:51:00.930] [EVT.SPAWN] Plant at (1667,2198)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Toadstool at (1028,3909)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Pine at (1580,3488)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Horse at (1849,3428)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Salmon at (4040,191)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Deer at (6143,3402)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Deer at (6134,1338)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Fish at (4226,149)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Turtle at (2144,3602)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Rabbit at (2204,4360)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Lizard at (2693,215)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Lizard at (975,1333)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Lizard at (3674,3295)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Sheep at (4431,1582)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Goat at (4668,3628)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Goat at (5090,2259)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Salmon at (5929,2809)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Salmon at (1218,2424)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Turtle at (2955,3043)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Turtle at (1933,2629)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Fish at (3582,66)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Sheep at (1743,1094)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Salmon at (4206,208)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Goat at (4243,802)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Horse at (310,1221)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Fish at (3759,126)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Lizard at (4962,4386)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Lizard at (5764,467)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Deer at (1720,3890)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Horse at (4598,891)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Horse at (5821,602)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Gazelle at (3992,3096)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Salmon at (5765,1054)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Turtle at (3596,905)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Rabbit at (3626,2036)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Horse at (4727,1370)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Rabbit at (6229,4542)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Lizard at (2577,2853)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Goat at (3763,4216)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Turtle at (3081,4306)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Goat at (5315,4493)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Turtle at (3350,1720)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Deer at (3958,543)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Rabbit at (798,230)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Horse at (1462,1476)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Horse at (5147,1998)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Sheep at (5412,2724)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Goat at (401,4793)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Horse at (1453,3764)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Gazelle at (6366,2216)
[2026-06-20 17:51:00.931] [EVT.SPAWN] Rabbit at (2554,1698)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Horse at (2861,1634)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Turtle at (911,19)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Lizard at (3843,3400)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Rabbit at (2532,2932)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Sheep at (6300,2331)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Deer at (1342,3708)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Horse at (4514,2494)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Turtle at (2491,3474)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Sheep at (1753,1926)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Goat at (4153,3744)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Fish at (5207,71)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Rabbit at (3817,1785)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Piranha at (4958,200)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Crocodile at (4429,3938)
[2026-06-20 17:51:00.932] [EVT.SPAWN] Crocodile at (6195,118)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Shark at (4752,16)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Lion at (5802,494)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Wolf at (2048,4343)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Snake at (1511,4049)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Fox at (1269,4630)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Fox at (4188,4622)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Shark at (6352,784)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Lion at (2891,2061)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Wolf at (3486,4128)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Fox at (2956,179)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Wolf at (2482,2180)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Crocodile at (5754,1362)
[2026-06-20 17:51:00.933] [EVT.SPAWN] Piranha at (4724,2)
[2026-06-20 17:51:00.934] [EVT.SPAWN] Shark at (4752,16)
[2026-06-20 17:51:00.935] [EVT.SPAWN] Shark at (4752,16)
[2026-06-20 17:51:00.935] [EVT.SPAWN] Lynx at (3297,946)
[2026-06-20 17:51:00.935] [EVT.SPAWN] Crocodile at (769,24)
[2026-06-20 17:51:00.935] [EVT.SPAWN] Boar at (3593,3385)
[2026-06-20 17:51:00.935] [EVT.SPAWN] Jellyfish at (5132,3586)
[2026-06-20 17:51:00.936] [EVT.SPAWN] Bear at (1840,484)
[2026-06-20 17:51:00.936] [EVT.SPAWN] Beetle at (2911,1012)
